Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
UPMC Chautauqua,Path. and Lab. - Hematology and Coagulation,$50,$264,,,University of Pittsburgh Medical Center (AKA UPMC),University of Pittsburgh Medical Center (AKA UPMC),2765
Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),Path. and Lab. - Chemistry,$50,$412,11,,Corewell Health East (FKA Beaumont Health System),Corewell Health (FKA BHSH System),2112
Suburban Hospital,Path. and Lab. - Hematology and Coagulation,$49,$55,,,Johns Hopkins Medicine,,1894
Rhode Island Hospital,Medicine - Cardiovascular,$49,"$1,842",,,Brown University Health (FKA Lifespan),,3603
Trinity Health Grand Haven (FKA North Ottawa Community Hospital),Path. and Lab. - Chemistry,$49,$471,,,Trinity Health Michigan,Trinity Health (FKA CHE Trinity Health),2073
Aspirus Ironwood Hospital,Path. and Lab. - Chemistry,$49,$168,,,Aspirus Health (FKA Community Health Care Inc),Aspirus Health (FKA Community Health Care Inc),2017
Trinity Health Shelby Hospital (FKA Mercy Health Lakeshore Campus),"Medicine - Injections, Infusions, and Complex Agent Administration",$49,$360,,,Trinity Health Michigan,Trinity Health (FKA CHE Trinity Health),5171
HSHS St Marys Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$49,"$1,324",,,Hospital Sisters Health System (AKA HSHS),,1226
Holland Hospital,Path. and Lab. - Hematology and Coagulation,$49,$992,18,,,,2074
Sheridan Memorial Hospital Association,Path. and Lab. - Urinalysis,$49,$139,,,Billings Clinic Health System,Billings Clinic-Logan Health (AKA Billings Clinic and Logan Health),2487
Mercyhealth Hospital and Physician Clinic - Crystal Lake,Path. and Lab. - Immunology,$49,$805,,,Mercyhealth (FKA Mercy Health System),,941182
Holland Hospital,Medicine - Immunization Administration for Vaccines/Toxoids,$49,$100,,,,,2074
Childrens Hospital Colorado - Anschutz Medical Campus,Path. and Lab. - Hematology and Coagulation,$49,$422,,,Childrens Hospital Colorado System,,644
Methodist Mansfield Medical Center,Path. and Lab. - Organ or Disease-Oriented Panels,$49,"$7,736",,,Methodist Health System,,4151
Johns Hopkins Bayview Medical Center,Path. and Lab. - Hematology and Coagulation,$49,$56,,,Johns Hopkins Medicine,,1918
Canonsburg Hospital,Path. and Lab. - Chemistry,$49,$403,,,Allegheny Health Network (FKA West Penn Allegheny Health System),,3591
Sinai Hospital (FKA Sinai Hospital of Baltimore),Medicine - Cardiovascular,$49,$71,,,LifeBridge Health,,1916
ThedaCare Medical Center - Wild Rose (FKA Wild Rose Community Memorial Hospital),Path. and Lab. - Organ or Disease-Oriented Panels,$49,$155,,,ThedaCare,Froedtert ThedaCare Health Inc,4592
Tahoe Forest Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$49,$155,,,Tahoe Forest Health System (FKA Tahoe Forest Hospital District),,463
Community Hospital of Bremen,Path. and Lab. - Microbiology,$49,$124,,,Beacon Health System,,1367
St Joseph Health System Plymouth Medical Center (FKA St Josephs Regional Medical Center - Plymouth),Path. and Lab. - Microbiology,$49,"$1,110",,,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health),1366
FirstHealth Moore Regional Hospital,Path. and Lab. - Microbiology,$49,$506,,,FirstHealth of the Carolinas,,3011
Mariners Hospital,Path. and Lab. - Urinalysis,$48,$215,,,Baptist Health South Florida,Baptist Health South Florida,865
Tidelands Georgetown Memorial Hospital,"Medicine - Injections, Infusions, and Complex Agent Administration",$48,$684,,,Tidelands Health,Medical University of South Carolina Health System (AKA MUSC Health),3637
Bozeman Health Deaconess Regional Medical Center (FKA Bozeman Health Deaconess Hospital),"Medicine - Vaccines, Toxoids",$48,$95,,,Bozeman Health,,2461
MercyOne Genesis Davenport Medical Center (FKA Genesis Medical Center - East Rusholme Street),Path. and Lab. - Chemistry,$48,"$1,471",12,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health),1497
Taylorville Memorial Hospital,Surgery - Cardiovascular System,$48,$446,,,Memorial Health (FKA Memorial Health System),,1113
University Health Truman Medical Center (FKA Truman Medical Center Hospital Hill),Path. and Lab. - Hematology and Coagulation,$48,$620,15,,University Health (FKA Truman Medical Centers),,2385
Corewell Health Zeeland Hospital (FKA Spectrum Health Zeeland Community Hospital),Path. and Lab. - Organ or Disease-Oriented Panels,$48,$361,,,Corewell Health West (FKA Spectrum Health),Corewell Health (FKA BHSH System),2075
Baptist Anderson Regional Medical Center (FKA Anderson Regional Medical Center - North),Path. and Lab. - Chemistry,$48,"$1,271",,,Baptist Memorial Health Care Corporation,,576748
Fishermens Community Hospital,Path. and Lab. - Microbiology,$48,$170,,,Baptist Health South Florida,Baptist Health South Florida,866
Sarah Bush Lincoln Health Center,Medicine - Cardiovascular,$48,"$3,624",14,,Sarah Bush Lincoln Health System,,1117
Graham Hospital Association (AKA Graham Health System),Medicine - Cardiovascular,$48,"$2,168",,,,,1181
Vaughan Regional Medical Center,Path. and Lab. - Chemistry,$48,"$1,203",,,ScionHealth,ScionHealth,48
Methodist University Hospital,Temporary Procedures & Professional Services,$48,$665,,,Methodist Le Bonheur Healthcare (AKA Methodist Healthcare),,3818
Freeman Hospital West,Eval. and Mgmt. - Preventative Medicine Services,$48,$140,,,Freeman Health System,,2387
Wabash General Hospital,Path. and Lab. - Microbiology,$48,$149,,,Alliant Management Services,,1271
Mercy Medical Center,Temporary Procedures & Professional Services,$48,$73,,,,,1913
Edgerton Hospital and Health Services,Surgery - Cardiovascular System,$48,$116,,,,,4560
Lincoln Memorial Hospital (FKA Abraham Lincoln Memorial Hospital),Path. and Lab. - Proprietary Laboratory Analyses,$48,$221,,,Memorial Health (FKA Memorial Health System),,1218
Monument Health Rapid City Hospital (FKA Regional Health Rapid City Hospital),Temporary Procedures & Professional Services,$48,$278,,,Monument Health (FKA Regional Health),,3710
Beacon Allegan (FKA Ascension Borgess Allegan Hospital),"Medicine - Vaccines, Toxoids",$47,$156,,,Beacon Health System,,1989
Holy Rosary Healthcare,Path. and Lab. - Hematology and Coagulation,$47,$105,,,Intermountain Health (FKA Intermountain Healthcare),Intermountain Health (FKA Intermountain Healthcare),2453
Norton Scott Hospital (FKA Scott Memorial Hospital),Radiology - Diagnostic Imaging,$47,"$4,834",,,Norton Healthcare,,1384
MercyOne North Iowa Medical Center (FKA Mercy Medical Center - North Iowa),Medicine - Cardiovascular,$47,$66,,,MercyOne (FKA Mercy Health Network),Trinity Health (FKA CHE Trinity Health),1424
Jay Hospital,Path. and Lab. - Hematology and Coagulation,$47,$337,,,Baptist Health Care (Pensacola FL),,919
OSF HealthCare Saint Clare Medical Center (FKA Perry Memorial Hospital),Orthotic/Prosthetic Procedures,$47,$401,,,OSF HealthCare,,1110
OrthoIndy Northwest Hospital (AKA OrthoIndy Hospital Main),Path. and Lab. - Chemistry,$47,"$1,303",,,,,1357
OSF Saint Francis Medical Center,Temporary Codes,$47,"$23,218",27,18,OSF HealthCare,,1242
Advocate Condell Medical Center,Temporary Codes,$47,"$62,270",85,56,Advocate Health Care,Advocate Health,1207
Mayo Clinic Hospital - Saint Marys Campus,Temporary Codes,$47,"$1,991",30,15,Mayo Clinic,Mayo Clinic,2191
UnityPoint Health St Lukes Hospital,Temporary Codes,$47,"$1,184",,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System),1468
MyMichigan Medical Center Alpena (FKA MidMichigan Medical Center - Alpena),Temporary Codes,$47,$364,,,MyMichigan Health (FKA MidMichigan Health),MyMichigan Health (FKA MidMichigan Health),1990
Ochsner Medical Center - Main Campus,Path. and Lab. - Organ or Disease-Oriented Panels,$47,$657,,,Ochsner Health System,Ochsner Health System,1772
Merit Health River Region (FKA River Region Health System),Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$2,340",,,Merit Health,Community Health Systems (AKA CHS),2327
Atrium Health Wake Forest Baptist Medical Center (FKA Wake Forest Baptist Medical Center),Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$1,243",,,Atrium Health Wake Forest Baptist (FKA Wake Forest Baptist Health),Advocate Health,2976
William P Clements Jr University Hospital (FKA UT Southwestern University Hospital - St Paul),Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$3,260",22,,University of Texas Southwestern Medical Center (AKA UT Southwestern),University of Texas System,3923
Gonzales Healthcare Systems Memorial Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$47,$696,,,,,3977
Baptist Medical Center Jacksonville (FKA BMC Downtown),Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$2,500",,,Baptist Health (Jacksonville FL),,576749
Decatur Memorial Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$1,905",,,Memorial Health (FKA Memorial Health System),,1225
Huntsville Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$1,324",,,Huntsville Hospital Health System,Huntsville Hospital Health System,81
Mount Sinai Medical Center (FL),Path. and Lab. - Organ or Disease-Oriented Panels,$47,"$6,033",,,,,842
Medical City Dallas,Path. and Lab. - Microbiology,$47,"$4,298",,,HCA Medical City Healthcare (AKA HCA North Texas Division),HCA Healthcare (FKA Hospital Corporation of America),3914
Aurora St Lukes Medical Center of Aurora Health Care Metro,Medicine - Cardiovascular,$47,"$5,995",,,Aurora Health Care,Advocate Health,4534
Jackson Park Hospital & Medical Center,Path. and Lab. - Immunology,$47,"$2,328",11,,,,1121
Northwestern Medicine Marianjoy Rehabilitation Hospital,"Medicine - Vaccines, Toxoids",$47,$195,,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,5639
Decatur County Memorial Hospital,Temporary Procedures & Professional Services,$47,$149,,,,,1303
Ochsner Medical Center - Main Campus,"Medicine - Injections, Infusions, and Complex Agent Administration",$47,$344,,,Ochsner Health System,Ochsner Health System,1772
Ochsner Medical Center - Main Campus,Medicine - Immunization Administration for Vaccines/Toxoids,$47,$76,,,Ochsner Health System,Ochsner Health System,1772
Community Memorial Hospital,Radiology - Diagnostic Imaging,$47,$216,,,Crouse Hospital Health System,,2814
Mount Desert Island Hospital,Surgery - Integumentary System,$47,$216,,,,,1852
Tamarack Health Ashland Medical Center (FKA Ashland Medical Center),"Medicine - Injections, Infusions, and Complex Agent Administration",$46,$198,,,Tamarack Health (FKA Regional Enterprises Inc),,4474
Barnes-Jewish Hospital,Path. and Lab. - Microbiology,$46,"$1,009",,,BJC HealthCare,BJC HealthCare,2442
Roger Williams Medical Center,Path. and Lab. - Organ or Disease-Oriented Panels,$46,"$2,105",,,CharterCARE Health of Rhode Island (FKA CharterCARE Health Partners),,3608
Linden Oaks Hospital (FKA Linden Oaks Behavioral Health),Medicine - Cardiovascular,$46,$445,,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),5511
RML Specialty Hospital Hinsdale,Medicine - Cardiovascular,$46,"$2,733",,,Advocate Health Care,Advocate Health,6119
RUSH Specialty Hospital,Medicine - Cardiovascular,$46,"$10,078",22,,Select Medical Corporation,Select Medical Corporation,1069507
Morris Hospital & Healthcare Centers,Surgery - Auditory System,$46,$700,,,,,1183
Doctors Hospital at Renaissance Health (AKA DHR Health),Path. and Lab. - Chemistry,$46,"$2,303",,,DHR Health,,4039
Resurrection Medical Center (FKA Ascension Resurrection),Path. and Lab. - Urinalysis,$46,"$4,721",66,47,Prime Healthcare Services,Prime Healthcare Services,1147
Mayo Clinic Health System - Red Wing (FKA Fairview Red Wing Hospital),Path. and Lab. - Chemistry,$46,$291,,,Mayo Clinic Health System,Mayo Clinic,2145
MacNeal Hospital,Path. and Lab. - Urinalysis,$46,"$11,245",110,78,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1159
Corewell Health Ludington Hospital (FKA Spectrum Health Ludington Hospital),Surgery - Urinary System,$46,$99,,,Corewell Health West (FKA Spectrum Health),Corewell Health (FKA BHSH System),2050
Aurora Medical Center - Kenosha,Medicine - Cardiovascular,$46,"$3,280",,,Aurora Health Care,Advocate Health,4516
Froedtert Pleasant Prairie Hospital (FKA St Catherines Medical Center),Medicine - Cardiovascular,$46,"$5,453",,,Froedtert South,Froedtert ThedaCare Health Inc,550145
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),Medicine - Pulmonary,$46,"$5,491",11,,Franciscan Alliance Inc (AKA Franciscan Health),,1338
Mercyhealth Hospital and Medical Center - Walworth,Path. and Lab. - Transfusion Medicine,$46,$390,,,Mercyhealth (FKA Mercy Health System),,4581
MaineHealth Maine Medical Center Portland (FKA Maine Medical Center),Medicine - Cardiovascular,$46,"$4,303",,,MaineHealth,MaineHealth,1848
Cleveland Clinic Main Campus,Path. and Lab. - Hematology and Coagulation,$46,"$3,185",49,28,Cleveland Clinic Health System,Cleveland Clinic Health System,3120
Sentara Northern Virginia Medical Center (FKA Potomac Hospital),Medicine - Cardiovascular,$46,$453,,,Sentara Health (FKA Sentara Healthcare),,4294
Baptist Health Hardin (FKA Hardin Memorial Hospital),Path. and Lab. - Hematology and Coagulation,$46,$418,,,Baptist Health - Louisville KY,Baptist Health - Louisville KY,1672
Mission Community Hospital,Path. and Lab. - Hematology and Coagulation,$46,"$3,840",11,,,,441
Ferrell Hospital,Path. and Lab. - Coronavirus Diagnostic Panel,$46,$133,,,Deaconess Health System,Deaconess Health System,1258
Oro Valley Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$46,"$3,604",,,Northwest Healthcare,Community Health Systems (AKA CHS),202
UnityPoint Health St Lukes Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$46,$907,12,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System),1468
UnityPoint Health Meriter Hospital (FKA Meriter Hospital),Medicine - Cardiovascular,$45,$962,,,UnityPoint Health (FKA Iowa Health System),UnityPoint Health (FKA Iowa Health System),4495
Boone County Hospital,Path. and Lab. - Hematology and Coagulation,$45,$105,,,,,1416
Banner Wyoming Medical Center (FKA Wyoming Medical Center),Path. and Lab. - Chemistry,$45,$173,,,Banner Health,Banner Health,4614
BayCare St Josephs Hospital,Path. and Lab. - Hematology and Coagulation,$45,$385,,,BayCare Health System,,814
Corewell Health Ludington Hospital (FKA Spectrum Health Ludington Hospital),Temporary Procedures & Professional Services,$45,$118,,,Corewell Health West (FKA Spectrum Health),Corewell Health (FKA BHSH System),2050
Red Bay Hospital,Eval. and Mgmt. - Emergency Department Services,$45,$579,,,Helen Keller Hospital Health System (FKA Northwest Alabama Health Care Authority),Huntsville Hospital Health System,58
Community Memorial Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$45,$110,,,Crouse Hospital Health System,,2814
Providence Portland Medical Center,Path. and Lab. - Surgical Pathology,$45,$252,,,Providence Health & Services - Oregon and Southwest Washington,Providence St Joseph Health (AKA Providence),3418
Cleveland Clinic Main Campus,"Medicine - Vaccines, Toxoids",$45,$231,,,Cleveland Clinic Health System,Cleveland Clinic Health System,3120
Beverly Hospital,Temporary Procedures & Professional Services,$45,$192,,,Beth Israel Lahey Health,Beth Israel Lahey Health,1934
Javon Bea Hospital - Riverside,Path. and Lab. - Urinalysis,$45,"$3,692",38,15,Mercyhealth (FKA Mercy Health System),,856410
OSF Saint Luke Medical Center (FKA Kewanee Hospital),Medicine - Pulmonary,$45,"$1,151",,,OSF HealthCare,,1186
CGH Medical Center,Surgery - Auditory System,$45,$183,,,,,1274
Memorial Hospital Belleville,Medicine - Cardiovascular,$45,"$2,465",,,BJC HealthCare,BJC HealthCare,1254
Aspirus Keweenaw Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$45,$170,,,Aspirus Health (FKA Community Health Care Inc),Aspirus Health (FKA Community Health Care Inc),5791
Swisher Memorial Hospital,Path. and Lab. - Hematology and Coagulation,$45,$235,,,,,4132
St Andrews Campus of LincolnHealth (Closed - No Longer Offers Inpatient Services),Surgery - Cardiovascular System,$45,$121,,,MaineHealth,MaineHealth,1857
AnMed Health Medical Center,Path. and Lab. - Organ or Disease-Oriented Panels,$45,$438,,,AnMed Health System,,3614
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),Path. and Lab. - Urinalysis,$45,"$4,627",48,33,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1171
Sisters of Charity Hospital,Temporary Procedures & Professional Services,$45,$470,,,Catholic Health,,2782
Wynn Hospital,Temporary Procedures & Professional Services,$45,$164,,,Mohawk Valley Health System,,2857
Saratoga Hospital,Temporary Procedures & Professional Services,$45,$433,,,Albany MED Health System (FKA Albany Medical Center Health System),,2895
UnityPoint Health - Trinity Muscatine,Medicine - Cardiovascular,$45,$22,,,UnityPoint Health Trinity (FKA Trinity Regional Health System),UnityPoint Health (FKA Iowa Health System),1480
Boca Raton Regional Hospital,Path. and Lab. - Hematology and Coagulation,$45,"$5,515",28,,Baptist Health South Florida,Baptist Health South Florida,885
Perham Health (FKA Perham Memorial Hospital & Home),Path. and Lab. - Hematology and Coagulation,$45,$123,,,Sanford Health,Sanford Health,2194
Cleveland Clinic Martin North Hospital (FKA Martin Medical Center),Path. and Lab. - Microbiology,$44,$489,,,Cleveland Clinic Florida (FKA Cleveland Clinic Martin Health),Cleveland Clinic Health System,841
Franciscan Health Indianapolis (FKA Franciscan St Francis Health - Indianapolis),Medicine - Cardiovascular,$44,$610,,,Franciscan Alliance Inc (AKA Franciscan Health),,1359
Northwest Medical Center,Path. and Lab. - Hematology and Coagulation,$44,"$4,891",,,Northwest Healthcare,Community Health Systems (AKA CHS),204
Trinity Health Grand Haven (FKA North Ottawa Community Hospital),Path. and Lab. - Hematology and Coagulation,$44,$448,,,Trinity Health Michigan,Trinity Health (FKA CHE Trinity Health),2073
Cox Medical Center South,Path. and Lab. - Microbiology,$44,$968,,,CoxHealth,CoxHealth,2369
Carle Hoopeston Regional Health Center,Drugs Not Administered Orally,$44,"$1,014",15,,Carle Health System,,1267
Tisch Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$44,"$1,273",,,NYU Langone Health (FKA NYU Langone Medical Center),NYU Langone Health (FKA NYU Langone Medical Center),2843
UPMC Horizon - Greenville,Path. and Lab. - Organ or Disease-Oriented Panels,$44,"$1,048",,,University of Pittsburgh Medical Center (AKA UPMC),University of Pittsburgh Medical Center (AKA UPMC),3540
Beloit Health System (FKA Beloit Memorial Hospital),Path. and Lab. - Organ or Disease-Oriented Panels,$44,"$1,663",,,Beloit Health System,,4562
Sarasota Memorial Hospital - Venice,Medicine - Cardiovascular,$44,"$2,190",,,Sarasota Memorial Health Care System,,1022318
Gulf Coast Medical Center,Medicine - Cardiovascular,$44,"$2,582",,,Lee Health (AKA Lee Memorial Health System),Lee Health (AKA Lee Memorial Health System),831
HCA Florida Fort Walton-Destin Hospital (FKA Fort Walton Beach Medical Center),Medicine - Cardiovascular,$44,"$4,746",,,HCA North Florida Division,HCA Healthcare (FKA Hospital Corporation of America),869
BayCare St Anthonys Hospital,Medicine - Cardiovascular,$44,$480,,,BayCare Health System,,903
HCA Florida Northside Hospital (FKA Northside Hospital),Medicine - Cardiovascular,$44,$761,,,HCA West Florida Division,HCA Healthcare (FKA Hospital Corporation of America),897
The Johns Hopkins Hospital,Path. and Lab. - Transfusion Medicine,$44,$51,,,Johns Hopkins Medicine,,1914
Ochsner Medical Center - Main Campus,Path. and Lab. - Chemistry,$44,"$2,695",31,,Ochsner Health System,Ochsner Health System,1772
Nor-Lea Hospital District (FKA Nor-Lea General Hospital),Radiology - Diagnostic Imaging,$44,$468,,,,,2724
SIH Memorial Hospital of Carbondale,Path. and Lab. - Chemistry,$44,"$8,860",56,,Southern Illinois Healthcare,,1189
J Arthur Dosher Memorial Hospital,Path. and Lab. - Proprietary Laboratory Analyses,$44,$150,,,,,4829
IU Health Bloomington Hospital,Medicine - Cardiovascular,$44,$798,,,Indiana University Health (AKA IU Health),,1370
Powers Health Rehabilitation Center (FKA Community Stroke and Rehabilitation Hospital),Surgery - Urinary System,$44,$238,,,Powers Health (FKA Community Healthcare System),,872555
St Andrews Campus of LincolnHealth (Closed - No Longer Offers Inpatient Services),Path. and Lab. - Hematology and Coagulation,$44,$118,,,MaineHealth,MaineHealth,1857
Hood Memorial Hospital,Path. and Lab. - Hematology and Coagulation,$44,$118,,,,,4962
Advocate Good Samaritan Hospital,Path. and Lab. - Urinalysis,$44,"$8,845",137,102,Advocate Health Care,Advocate Health,1173
Advocate Trinity Hospital,Path. and Lab. - Urinalysis,$44,"$6,830",101,65,Advocate Health Care,Advocate Health,1156
Samaritan Albany General Hospital,Temporary Procedures & Professional Services,$44,$178,,,Samaritan Health Services,,3409
Mercy Health Hackley Campus (FKA Mercy Health Muskegon - Hackley - Closed),Path. and Lab. - Hematology and Coagulation,$44,$457,,,Mercy Health (FKA Mercy Health Muskegon - Closed - Merged with Trinity Health Michigan),Trinity Health (FKA CHE Trinity Health),2057
MaineHealth Memorial Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$44,$135,,,MaineHealth,MaineHealth,2615
UPMC Horizon - Greenville,Medicine - Cardiovascular,$44,$281,,,University of Pittsburgh Medical Center (AKA UPMC),University of Pittsburgh Medical Center (AKA UPMC),3540
Sutter Medical Center - Ose Adams Medical Pavilion (FKA Sutter General Hospital),Path. and Lab. - Hematology and Coagulation,$43,"$1,247",,,Sutter Health,Sutter Health,508
Mariners Hospital,Path. and Lab. - Surgical Pathology,$43,"$1,478",,,Baptist Health South Florida,Baptist Health South Florida,865
Mayo Clinic Health System - Oakridge in Osseo,Path. and Lab. - Immunology,$43,$123,,,Mayo Clinic Health System,Mayo Clinic,4577
Lincoln County Medical Center,Path. and Lab. - Organ or Disease-Oriented Panels,$43,$107,,,Presbyterian Healthcare Services,,2726
VCU Medical Center Main Hospital,Surgery - Cardiovascular System,$43,$407,,,VCU Health,,4335
Methodist Dallas Medical Center,Surgery - Cardiovascular System,$43,$75,,,Methodist Health System,,3922
Ohio State University Wexner Medical Center (AKA Ohio State University Hospital),Surgery - Cardiovascular System,$43,$224,12,,Ohio State University Wexner Medical Center (AKA Ohio State University Health System),Ohio State University Wexner Medical Center (AKA Ohio State University Health System),3140
UP Health System - Marquette (FKA Marquette General Hospital),Surgery - Cardiovascular System,$43,$668,,,UP Health System,LifePoint Health (FKA LifePoint Hospitals),2049
Munson Medical Center,Surgery - Cardiovascular System,$43,$171,,,Munson Healthcare,Munson Healthcare,2018
Corewell Health Watervliet Hospital (FKA Spectrum Health Lakeland Watervliet Hospital),Surgery - Cardiovascular System,$43,$145,,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1996
AdventHealth New Smyrna Beach (FKA Florida Hospital New Smyrna),Surgery - Cardiovascular System,$43,$169,,,AdventHealth East Florida Division,AdventHealth (FKA Adventist Health System),930
Oro Valley Hospital,Surgery - Cardiovascular System,$43,"$1,462",,,Northwest Healthcare,Community Health Systems (AKA CHS),202
UCHealth University of Colorado Hospital,Surgery - Cardiovascular System,$43,$903,,,UCHealth (AKA University of Colorado Health),,642
MercyOne Genesis Silvis Medical Center (FKA Genesis Medical Center - Silvis),Surgery - Cardiovascular System,$43,$551,14,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health),1252
Ochsner Watkins Memorial Hospital,Path. and Lab. - Microbiology,$43,$87,,,Ochsner Rush Health (FKA Rush Health Systems),Ochsner Health System,2256
Bellin Hospital Green Bay (AKA Bellin Memorial Hospital),Path. and Lab. - Microbiology,$43,"$5,264",,,Bellin Health,Emplify Health (AKA Bellin Health and Gundersen Health System),4478
Mercyhealth Hospital and Physician Clinic - Crystal Lake,Path. and Lab. - Hematology and Coagulation,$43,"$2,653",20,14,Mercyhealth (FKA Mercy Health System),,941182
Cape Fear Valley Medical Center,Medicine - Cardiovascular,$43,$774,,,Cape Fear Valley Health System (FKA Cumberland County Hospital System),Cape Fear Valley Health System (FKA Cumberland County Hospital System),2964
St Marys Medical Center,Path. and Lab. - Hematology and Coagulation,$43,"$2,591",,,Prime Healthcare Services,Prime Healthcare Services,2383
St Davids South Austin Medical Center,Radiology - Diagnostic Imaging,$43,"$12,447",,,HCA Central & West Texas Division - St Davids HealthCare,HCA Healthcare (FKA Hospital Corporation of America),4167
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),Path. and Lab. - Urinalysis,$43,"$10,023",88,76,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1162
Corewell Health Watervliet Hospital (FKA Spectrum Health Lakeland Watervliet Hospital),Path. and Lab. - Chemistry,$43,$933,11,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1996
IU Health White Memorial Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$43,$165,,,Indiana University Health (AKA IU Health),,1406
McLaren Central Michigan (FKA Central Michigan Community Hospital),Medicine - Cardiovascular,$43,$237,,,McLaren Health Care Corporation,,2029
Vista Medical Center East (AKA Vista Health System),Path. and Lab. - Immunology,$43,"$1,271",,,American Healthcare Systems,,1204
Bronson South Haven Hospital (FKA South Haven Community Hospital),Medicine - Cardiovascular,$43,"$1,279",,,Bronson Healthcare,,2094
Trinity Health Shelby Hospital (FKA Mercy Health Lakeshore Campus),Drugs Not Administered Orally,$43,$311,,,Trinity Health Michigan,Trinity Health (FKA CHE Trinity Health),5171
Baylor Scott & White Medical Center - Hillcrest (FKA Hillcrest Baptist Medical Center),Temporary Procedures & Professional Services,$43,"$5,139",,,Baylor Scott & White Health,,4083
JW Ruby Memorial Hospital,"Medicine - Vaccines, Toxoids",$43,$114,,,WVU Medicine (AKA West Virginia University Health System),WVU Medicine (AKA West Virginia University Health System),4451
UW Health SwedishAmerican Hospital (FKA SwedishAmerican Hospital),Path. and Lab. - Urinalysis,$42,"$6,913",50,27,University of Wisconsin Health (AKA UW Health),,1283
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),Medicine - Endocrinology,$42,$145,,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1995
Corewell Health Watervliet Hospital (FKA Spectrum Health Lakeland Watervliet Hospital),Medicine - Cardiovascular,$42,$538,,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System),1996
Linden Oaks Hospital (FKA Linden Oaks Behavioral Health),Path. and Lab. - Chemistry,$42,$542,,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),5511
Avera Gregory Hospital,Radiology - Diagnostic Imaging,$42,$393,,,Avera Health,,3688
Lee Memorial Hospital,Radiology - Diagnostic Ultrasound,$42,"$5,829",,,Lee Health (AKA Lee Memorial Health System),Lee Health (AKA Lee Memorial Health System),830
The Hospitals of Providence - Sierra Campus (Sierra Medical Center),Medicine - Cardiovascular,$42,$922,,,The Hospitals of Providence (FKA Sierra Providence Health Network),Tenet Healthcare,3957
Lutheran Kosciusko Hospital (FKA Kosciusko Community Hospital),Path. and Lab. - Hematology and Coagulation,$42,"$1,575",,,Lutheran Health Network,Community Health Systems (AKA CHS),1335
Wabash General Hospital,Radiology - Diagnostic Imaging,$42,$331,,,Alliant Management Services,,1271
University Health Truman Medical Center (FKA Truman Medical Center Hospital Hill),Path. and Lab. - Microbiology,$42,$396,,,University Health (FKA Truman Medical Centers),,2385
Trinity Health Grand Haven (FKA North Ottawa Community Hospital),Path. and Lab. - Organ or Disease-Oriented Panels,$42,$550,,,Trinity Health Michigan,Trinity Health (FKA CHE Trinity Health),2073
Allegheny General Hospital,Path. and Lab. - Organ or Disease-Oriented Panels,$42,$729,,,Allegheny Health Network (FKA West Penn Allegheny Health System),,3448
