Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
HSHS St Johns Hospital,Drugs Not Administered Orally,$0,"$9,616",96,16,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Path. and Lab. - Hematology and Coagulation,$0,"$2,922",25,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Path. and Lab. - Definitive Drug Testing,$0,$290,,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Surgery - Nervous System,$0,"$16,863",,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS St Johns Hospital,Temporary Codes,$0,"$3,534",,,Hospital Sisters Health System (AKA HSHS),,1259
HSHS Good Shepherd Hospital (FKA Shelby Memorial Hospital),Drugs Not Administered Orally,$0,$70,,,Hospital Sisters Health System (AKA HSHS),,1262
Mercyhealth FHN Hospital (FKA FHN Memorial Hospital),Temporary Codes,$0,"$4,869",,,Mercyhealth (FKA Mercy Health System),,1263
Sarah D Culbertson Memorial Hospital,Path. and Lab. - Definitive Drug Testing,$0,$253,,,,,1261
HSHS Good Shepherd Hospital (FKA Shelby Memorial Hospital),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$9,,,Hospital Sisters Health System (AKA HSHS),,1262
Springfield Memorial Hospital (FKA Memorial Medical Center),"Transportation, Medical & Surgical Supplies, Miscellaneous & Experimental",$0,$690,,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Path. and Lab. - Transfusion Medicine,$0,"$1,013",,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Medicine - Cardiovascular,$0,"$3,694",,,Memorial Health (FKA Memorial Health System),,1260
HSHS St Johns Hospital,Vision/Hearing Services,$0,"$1,800",,,Hospital Sisters Health System (AKA HSHS),,1259
Springfield Memorial Hospital (FKA Memorial Medical Center),Path. and Lab. - Molecular Pathology,$0,$48,,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),"Medicine - Vaccines, Toxoids",$0,$355,,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Medicine - Immunization Administration for Vaccines/Toxoids,$0,$181,,,Memorial Health (FKA Memorial Health System),,1260
Springfield Memorial Hospital (FKA Memorial Medical Center),Temporary Codes,$0,"$10,595",15,,Memorial Health (FKA Memorial Health System),,1260
