Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
St Marys Regional Hospital (AKA St Marys Medical Center),"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$12,958","$106,242",,,Intermountain Health (FKA Intermountain Healthcare),Intermountain Health (FKA Intermountain Healthcare)
Loyola University Medical Center,"STOMACH, ESOPHAGEAL & DUODENAL PROC  (326, 327, 328)","$27,025","$106,209",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),"HYPERTENSION  (304, 305)","$21,639","$106,120",,,Prime Healthcare Services,Prime Healthcare Services
Community Hospital,"MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS  (435, 436, 437)","$10,631","$106,062",,,Powers Health (FKA Community Healthcare System),
Evanston Hospital (AKA NorthShore Evanston Hospital),"ENDOCRINE DISORDERS  (643, 644, 645)","$32,986","$106,061",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Baptist Hospital,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH  (286, 287)","$14,157","$105,998",,,Baptist Health Care (Pensacola FL),
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH  (562, 563)","$11,639","$105,920",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Methodist Hospital,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$26,793","$105,914",,,HCA San Antonio Division (AKA Methodist Healthcare of San Antonio),HCA Healthcare (FKA Hospital Corporation of America)
Mercy Medical Center (FKA Ascension Mercy),"MEDICAL BACK PROBLEMS  (551, 552)","$15,505","$105,910",,,Prime Healthcare Services,Prime Healthcare Services
Loyola University Medical Center,"PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT  (250, 251)","$27,383","$105,902",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Advocate Good Samaritan Hospital,"RED BLOOD CELL DISORDERS  (811, 812)","$44,176","$105,742",,,Advocate Health Care,Advocate Health
Northwestern Memorial Hospital,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG  (739, 740, 741)","$17,875","$105,705",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"G.I. HEMORRHAGE  (377, 378, 379)","$23,167","$105,667",,,,
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"PERITONEAL ADHESIOLYSIS  (335, 336, 337)","$22,286","$105,597",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Edward Hospital (FKA Edward Heart Hospital),"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR  (492, 493, 494)","$17,596","$105,463",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$29,130","$105,389",,,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"SIGNS & SYMPTOMS  (947, 948)","$20,137","$105,325",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
MountainView Hospital,"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$12,369","$105,317",,,HCA Far West Division - Sunrise Health,HCA Healthcare (FKA Hospital Corporation of America)
John H Stroger Jr Hospital of Cook County,"HIV W MAJOR RELATED CONDITION  (974, 975, 976)","$68,870","$105,304",,,Cook County Health & Hospitals System,
Encompass Heath Rehabilitation Hospital of Libertyville,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$100,280","$105,269",,,Encompass Health Corporation (FKA HealthSouth),
Elkhart General Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$37,338","$105,241",,,Beacon Health System,
Evanston Hospital (AKA NorthShore Evanston Hospital),"CRANIAL & PERIPHERAL NERVE DISORDERS  (073, 074)","$27,379","$105,193",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Mercy Medical Center (FKA Ascension Mercy),"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS  (371, 372, 373)","$21,792","$105,151",,,Prime Healthcare Services,Prime Healthcare Services
Elmhurst Hospital,"OTHER DIGESTIVE SYSTEM O.R. PROCEDURES  (356, 357, 358)","$14,328","$105,141",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Edward Hospital (FKA Edward Heart Hospital),"SOFT TISSUE PROCEDURES  (500, 501, 502)","$17,032","$105,123",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"REVISION OF HIP OR KNEE REPLACEMENT  (466, 467, 468)","$24,399","$105,119",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
MacNeal Hospital,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$43,254","$105,116",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Saint Francis Hospital (FKA Ascension Saint Francis),"HYPERTENSION  (304, 305)",$0,"$105,039",,,Prime Healthcare Services,Prime Healthcare Services
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$104,971","$104,971",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Roper St Francis Healthcare - Roper Hospital,"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$18,805","$104,828",,,Roper St Francis Healthcare,Bon Secours Mercy Health
Northwestern Memorial Hospital,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$29,124","$104,794",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Methodist Hospitals - Northlake,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$20,114","$104,793",,,Methodist Hospitals,
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"OTHER O.R. PROCEDURES FOR INJURIES  (907, 908, 909)","$13,588","$104,770",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS (278,279)","$36,119","$104,750",,,Advocate Health Care,Advocate Health
Methodist Hospitals - Northlake,"MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL  (808, 809, 810)","$16,652","$104,701",,,Methodist Hospitals,
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$16,128","$104,663",,,Ascension Health Illinois,Ascension Health
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$24,344","$104,486",,,OSF HealthCare,
Mercy Medical Center (FKA Ascension Mercy),"KIDNEY & URINARY TRACT NEOPLASMS  (686, 687, 688)","$7,540","$104,475",,,Prime Healthcare Services,Prime Healthcare Services
RML Specialty Hospital Hinsdale,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$22,374","$104,421",,,Advocate Health Care,Advocate Health
Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$22,308","$104,391",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Missouri Baptist Medical Center,"DISORDERS OF THE BILIARY TRACT  (444, 445, 446)","$9,021","$104,236",,,BJC HealthCare,BJC HealthCare
University of Illinois Hospital,"LYMPHOMA & NON-ACUTE LEUKEMIA  (840, 841, 842)","$84,335","$104,107",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
University of Illinois Hospital,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES  (025, 026, 027)","$29,486","$104,080",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),"RENAL FAILURE  (682, 683, 684)","$14,287","$104,063",,,Franciscan Alliance Inc (AKA Franciscan Health),
Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),"LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR  (495, 496, 497)","$24,760","$104,036",,,Sinai Chicago (FKA Sinai Health System),
RML Specialty Hospital Hinsdale,"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS  (371, 372, 373)","$35,896","$104,010",,,Advocate Health Care,Advocate Health
Novant Health Hilton Head Medical Center (FKA Hilton Head Hospital),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$18,425","$103,991",,,Hilton Head Regional Healthcare,Novant Health
Tisch Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$25,824","$103,986",,,NYU Langone Health (FKA NYU Langone Medical Center),NYU Langone Health (FKA NYU Langone Medical Center)
Advocate Christ Medical Center,"DIABETES  (637, 638, 639)","$25,206","$103,982",,,Advocate Health Care,Advocate Health
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$16,364","$103,957",,,Prime Healthcare Services,Prime Healthcare Services
Mercy Medical Center (FKA Ascension Mercy),"MAJOR CHEST TRAUMA  (183, 184, 185)","$11,621","$103,928",,,Prime Healthcare Services,Prime Healthcare Services
Advocate Lutheran General Hospital,"CHEMO W ACUTE LEUKEMIA AS SDX (837, 838, 839)","$17,479","$103,923",,,Advocate Health Care,Advocate Health
Northwestern Medicine Lake Forest Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$29,386","$103,888",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Central DuPage Hospital,"BACK & NECK PROC EXC SPINAL FUSION (518, 519, 520)","$13,723","$103,864",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Javon Bea Hospital - Riverside,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$18,587","$103,751",,,Mercyhealth (FKA Mercy Health System),
Evanston Hospital (AKA NorthShore Evanston Hospital),"BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (477, 478, 479)","$43,606","$103,740",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
VCU Medical Center Main Hospital,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES  (025, 026, 027)","$48,339","$103,705",,,VCU Health,
Mishawaka Medical Center (FKA St Joseph Regional Medical Center),"G.I. HEMORRHAGE  (377, 378, 379)","$16,475","$103,697",,,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health)
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"RESPIRATORY NEOPLASMS  (180, 181, 182)","$19,332","$103,650",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwest Community Hospital (AKA Northwest Community Healthcare),"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$71,007","$103,535",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
CGH Medical Center,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$27,857","$103,512",,,,
Northwestern Medicine Central DuPage Hospital,PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$18,870","$103,497",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Deaconess Midtown Hospital,"SKIN DEBRIDEMENT  (570, 571, 572)","$20,478","$103,418",,,Deaconess Health System,Deaconess Health System
Northwest Community Hospital (AKA Northwest Community Healthcare),"INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE  (020, 021, 022)","$41,636","$103,313",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Regions Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$12,697","$103,258",,,HealthPartners,HealthPartners
Northwest Community Hospital (AKA Northwest Community Healthcare),"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$43,602","$103,188",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Condell Medical Center,"MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS  (435, 436, 437)","$14,141","$103,159",,,Advocate Health Care,Advocate Health
Encompass Health Rehabilitation Hospital of Naples,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$55,955","$103,130",,,Encompass Health Corporation (FKA HealthSouth),
Northwestern Medicine Central DuPage Hospital,"OTHER RESPIRATORY SYSTEM DIAGNOSES  (205, 206)","$85,463","$103,098",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),"ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT  (061, 062, 063)","$18,581","$103,091",,,Prime Healthcare Services,Prime Healthcare Services
OSF Saint Francis Medical Center,"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E.  (417, 418, 419)","$12,090","$103,086",,,OSF HealthCare,
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE  (555, 556)","$101,752","$102,989",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Good Samaritan Hospital,"STOMACH, ESOPHAGEAL & DUODENAL PROC  (326, 327, 328)",$0,"$102,906",,,Advocate Health Care,Advocate Health
Cabell Huntington Hospital,"INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM  (727, 728)","$16,130","$102,738",,,Marshall Health Network (FKA Mountain Health Network),Marshall Health Network (FKA Mountain Health Network)
Cape Coral Hospital,"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$17,089","$102,665",,,Lee Health (AKA Lee Memorial Health System),Lee Health (AKA Lee Memorial Health System)
Sutter Coast Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$57,998","$102,657",,,Sutter Health,Sutter Health
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"SEIZURES  (100, 101)","$26,726","$102,652",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),CHEST PAIN  (313),"$15,415","$102,598",,,OSF HealthCare,
Edward Hospital (FKA Edward Heart Hospital),"NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT  (067, 068)","$14,287","$102,582",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Christ Medical Center,"NONSPECIFIC CEREBROVASCULAR DISORDERS  (070, 071, 072)","$49,241","$102,567",,,Advocate Health Care,Advocate Health
West Suburban Medical Center,SYNCOPE & COLLAPSE  (312),"$33,417","$102,563",,,Resilience Healthcare,
Methodist Hospitals - Northlake,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$11,933","$102,494",,,Methodist Hospitals,
Arizona Spine & Joint Hospital,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$14,164","$102,470",,,United Surgical Partners International (AKA USPI),Tenet Healthcare
Ascension Alexian Brothers (FKA AMITA Health Alexian Brothers Medical Center Elk Grove Village),"G.I. HEMORRHAGE  (377, 378, 379)","$17,041","$102,412",,,Ascension Health Illinois,Ascension Health
Northwestern Medicine Central DuPage Hospital,"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$24,455","$102,377",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Springfield Memorial Hospital (FKA Memorial Medical Center),"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR  (492, 493, 494)","$22,378","$102,329",,,Memorial Health (FKA Memorial Health System),
Ascension St Alexius (FKA AMITA Health St Alexius Medical Center Hoffman Estates),"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$36,873","$102,282",,,Ascension Health Illinois,Ascension Health
Advocate Condell Medical Center,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$22,513","$102,260",,,Advocate Health Care,Advocate Health
MacNeal Hospital,"SEIZURES  (100, 101)","$37,073","$102,143",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Northwest Community Hospital (AKA Northwest Community Healthcare),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$30,464","$102,125",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),"G.I. HEMORRHAGE  (377, 378, 379)","$19,838","$102,085",,,Ascension Health Illinois,Ascension Health
City of Hope Chicago (FKA Cancer Treatment Centers of America - Chicago),"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT  (480, 481, 482)","$15,006","$102,039",,,City of Hope,
Saint Joseph Hospital - Elgin (FKA Ascension Saint Joseph Elgin),"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)",$0,"$101,995",,,Prime Healthcare Services,Prime Healthcare Services
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"APPENDIX PROCEDURES (397,398,399)","$10,663","$101,979",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercyhealth Hospital and Trauma Center - Janesville,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$13,760","$101,926",,,Mercyhealth (FKA Mercy Health System),
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$46,527","$101,859",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Northwestern Medicine Central DuPage Hospital,"VENTRICULAR SHUNT PROCEDURES  (031, 032, 033)","$16,623","$101,803",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),"DIGESTIVE MALIGNANCY  (374, 375, 376)","$16,726","$101,716",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Vista Medical Center East (AKA Vista Health System),"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$21,639","$101,546",,,American Healthcare Systems,
University of Illinois Hospital,"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$68,979","$101,543",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
